
|   ID  |    x    |      y     |

|   ID  |    x    |      y     |
|  3276 | 0.00000 |    0.00000 |
|  3276 | 0.00100 |    0.00100 |
|  3276 | 0.00200 |    0.00200 |
|  3277 | 0.25000 |    0.33865 |
|  3276 | 0.00300 |    0.00301 |
|  3277 | 0.25100 |    0.34048 |
|  3276 | 0.00400 |    0.00402 |
|  3277 | 0.25200 |    0.34232 |
|  3276 | 0.00500 |    0.00503 |
|  3277 | 0.25300 |    0.34416 |
|  3276 | 0.00600 |    0.00604 |
|  3277 | 0.25400 |    0.34600 |
|  3276 | 0.00700 |    0.00705 |
|  3277 | 0.25500 |    0.34785 |
|  3276 | 0.00800 |    0.00806 |
|  3277 | 0.25600 |    0.34971 |
|  3276 | 0.00900 |    0.00908 |
|  3277 | 0.25700 |    0.35157 |
|  3276 | 0.01000 |    0.01010 |
|  3277 | 0.25800 |    0.35344 |
|  3276 | 0.01100 |    0.01112 |
|  3277 | 0.25900 |    0.35531 |
|  3276 | 0.01200 |    0.01215 |
|  3277 | 0.26000 |    0.35718 |
|  3276 | 0.01300 |    0.01317 |
|  3277 | 0.26100 |    0.35906 |
|  3276 | 0.01400 |    0.01420 |
|  3277 | 0.26200 |    0.36095 |
|  3276 | 0.01500 |    0.01523 |
|  3277 | 0.26300 |    0.36284 |
|  3276 | 0.01600 |    0.01626 |
|  3277 | 0.26400 |    0.36473 |
|  3276 | 0.01700 |    0.01730 |
|  3277 | 0.26500 |    0.36663 |
|  3276 | 0.01800 |    0.01833 |
|  3277 | 0.26600 |    0.36854 |
|  3276 | 0.01900 |    0.01937 |
|  3277 | 0.26700 |    0.37045 |
|  3276 | 0.02000 |    0.02041 |
|  3277 | 0.26800 |    0.37236 |
|  3276 | 0.02100 |    0.02145 |
|  3277 | 0.26900 |    0.37429 |
|  3276 | 0.02200 |    0.02250 |
|  3277 | 0.27000 |    0.37621 |
|  3276 | 0.02300 |    0.02355 |
|  3277 | 0.27100 |    0.37814 |

|   ID  |    x    |      y     |
|  3276 | 0.02400 |    0.02460 |
|  3277 | 0.27200 |    0.38008 |
|  3276 | 0.02500 |    0.02565 |
|  3277 | 0.27300 |    0.38202 |
|  3276 | 0.02600 |    0.02670 |
|  3277 | 0.27400 |    0.38397 |
|  3276 | 0.02700 |    0.02776 |
|  3277 | 0.27500 |    0.38592 |
|  3276 | 0.02800 |    0.02882 |
|  3277 | 0.27600 |    0.38788 |
|  3276 | 0.02900 |    0.02988 |
|  3278 | 0.50000 |    0.99706 |
|  3277 | 0.27700 |    0.38984 |
|  3276 | 0.03000 |    0.03094 |
|  3278 | 0.50100 |    1.00074 |
|  3277 | 0.27800 |    0.39181 |
|  3276 | 0.03100 |    0.03201 |
|  3278 | 0.50200 |    1.00444 |
|  3277 | 0.27900 |    0.39379 |
|  3276 | 0.03200 |    0.03307 |
|  3278 | 0.50300 |    1.00814 |
|  3277 | 0.28000 |    0.39576 |
|  3276 | 0.03300 |    0.03414 |
|  3278 | 0.50400 |    1.01186 |
|  3277 | 0.28100 |    0.39775 |
|  3276 | 0.03400 |    0.03522 |
|  3278 | 0.50500 |    1.01558 |
|  3277 | 0.28200 |    0.39974 |
|  3276 | 0.03500 |    0.03629 |
|  3278 | 0.50600 |    1.01932 |
|  3277 | 0.28300 |    0.40173 |
|  3276 | 0.03600 |    0.03737 |
|  3278 | 0.50700 |    1.02307 |
|  3277 | 0.28400 |    0.40373 |
|  3276 | 0.03700 |    0.03845 |
|  3278 | 0.50800 |    1.02683 |
|  3277 | 0.28500 |    0.40574 |
|  3276 | 0.03800 |    0.03953 |
|  3278 | 0.50900 |    1.03060 |
|  3277 | 0.28600 |    0.40775 |
|  3276 | 0.03900 |    0.04061 |
|  3278 | 0.51000 |    1.03438 |
|  3277 | 0.28700 |    0.40977 |
|  3276 | 0.04000 |    0.04170 |
|  3278 | 0.51100 |    1.03817 |
|  3277 | 0.28800 |    0.41179 |
|  3276 | 0.04100 |    0.04279 |
|  3278 | 0.51200 |    1.04198 |
|  3277 | 0.28900 |    0.41382 |
|  3276 | 0.04200 |    0.04388 |
|  3278 | 0.51300 |    1.04579 |
|  3277 | 0.29000 |    0.41585 |
|  3276 | 0.04300 |    0.04497 |
|  3278 | 0.51400 |    1.04962 |
|  3277 | 0.29100 |    0.41789 |
|  3276 | 0.04400 |    0.04607 |
|  3278 | 0.51500 |    1.05346 |
|  3277 | 0.29200 |    0.41994 |
|  3276 | 0.04500 |    0.04716 |
|  3278 | 0.51600 |    1.05730 |
|  3277 | 0.29300 |    0.42199 |

|   ID  |    x    |      y     |
|  3276 | 0.04600 |    0.04826 |
|  3278 | 0.51700 |    1.06116 |
|  3277 | 0.29400 |    0.42404 |
|  3276 | 0.04700 |    0.04937 |
|  3278 | 0.51800 |    1.06504 |
|  3277 | 0.29500 |    0.42610 |
|  3276 | 0.04800 |    0.05047 |
|  3277 | 0.29600 |    0.42817 |
|  3276 | 0.04900 |    0.05158 |
|  3277 | 0.29700 |    0.43024 |
|  3279 | 0.75000 |    2.37037 |
|  3276 | 0.05000 |    0.05269 |
|  3277 | 0.29800 |    0.43232 |
|  3279 | 0.75100 |    2.37832 |
|  3278 | 0.51900 |    1.06892 |
|  3276 | 0.05100 |    0.05380 |
|  3277 | 0.29900 |    0.43440 |
|  3279 | 0.75200 |    2.38629 |
|  3278 | 0.52000 |    1.07281 |
|  3276 | 0.05200 |    0.05492 |
|  3277 | 0.30000 |    0.43649 |
|  3279 | 0.75300 |    2.39428 |
|  3278 | 0.52100 |    1.07672 |
|  3276 | 0.05300 |    0.05604 |
|  3277 | 0.30100 |    0.43859 |
|  3279 | 0.75400 |    2.40231 |
|  3278 | 0.52200 |    1.08063 |
|  3276 | 0.05400 |    0.05716 |
|  3277 | 0.30200 |    0.44069 |
|  3279 | 0.75500 |    2.41036 |
|  3278 | 0.52300 |    1.08456 |
|  3276 | 0.05500 |    0.05828 |
|  3277 | 0.30300 |    0.44280 |
|  3279 | 0.75600 |    2.41843 |
|  3278 | 0.52400 |    1.08850 |
|  3276 | 0.05600 |    0.05940 |
|  3277 | 0.30400 |    0.44491 |
|  3279 | 0.75700 |    2.42653 |
|  3278 | 0.52500 |    1.09245 |
|  3276 | 0.05700 |    0.06053 |
|  3277 | 0.30500 |    0.44703 |
|  3279 | 0.75800 |    2.43466 |
|  3278 | 0.52600 |    1.09642 |
|  3276 | 0.05800 |    0.06166 |
|  3277 | 0.30600 |    0.44915 |
|  3279 | 0.75900 |    2.44282 |
|  3278 | 0.52700 |    1.10039 |
|  3276 | 0.05900 |    0.06280 |
|  3277 | 0.30700 |    0.45128 |
|  3279 | 0.76000 |    2.45100 |
|  3278 | 0.52800 |    1.10438 |
|  3276 | 0.06000 |    0.06393 |
|  3277 | 0.30800 |    0.45342 |
|  3279 | 0.76100 |    2.45921 |
|  3278 | 0.52900 |    1.10838 |
|  3276 | 0.06100 |    0.06507 |
|  3277 | 0.30900 |    0.45556 |
